x
","
y
0.9769210624844245,-0.025
0.985086716854572,-0.025
1.001209968992848,-0.025
1.0248904906427772,-0.025
1.055560490241094,-0.025
1.0925211019757088,-0.025
1.1349854602479954,-0.025
1.1821234214344958,-0.025
1.233106614336802,-0.025
1.2871456958398408,-0.025
1.3435225661828876,-0.025
1.401614022902999,-0.025
1.4609016595832849,-0.025
1.5209766171285812,-0.025
1.5815312826938543,-0.025
1.6423468473387788,-0.025
1.703275830761412,-0.025
1.7642208910615165,-0.025
1.825114351142375,-0.025
1.8858982544983163,-0.025
1.9465113433027148,-0.025
2.006877970680585,-0.025
2.066903129560872,-0.025
2.1264741137117635,-0.025
2.1854634626326437,-0.025
2.243736539047611,-0.025
2.301160230791657,-0.025
2.3576116037639867,-0.025
2.412985981761946,-0.025
2.467202203866645,-0.025
2.5202058350660987,-0.025
2.571967498357445,-0.025
2.622481475215194,-0.025
2.6717600206012095,-0.025
2.7198288895221223,-0.024999522012903043
2.766721294694386,-0.02499868418875764
2.812474788026545,-0.024997245302653216
2.8571279114194468,-0.024994824068383582
2.900721765640262,-0.024990354140844925
2.943299502757967,-0.02498306767657186
2.984908811192531,-0.024971422002875894
3.02560603889794,-0.0249531720098601
3.065455260755822,-0.024924650619803243
3.104532697658277,-0.024881556740706384
3.1429262255661117,-0.024817678509354187
3.1807362755430253,-0.024724775653940517
3.2180729165945086,-0.024592190809564006
3.2550510859370103,-0.024406495721009364
3.291789261341263,-0.024151222617931054
3.3284013688683958,-0.02380673988010032
3.364992672646134,-0.02335033483491055
3.4016554687329013,-0.022756562849510387
3.438463253326682,-0.021997909094630577
3.47546660614228,-0.0210457868621316
3.5126922211765637,-0.019871865003991802
3.550143390756242,-0.01844967948855411
3.5877993632193115,-0.016756444341924977
3.625620510341516,-0.01477494053567407
3.6635526690082787,-0.012495333204988529
3.7015341840252884,-0.009916752876990518
3.7395029261858816,-0.007048478658922526
3.7774056678444716,-0.003910581968319403
3.8152046469307703,-0.0005339273245113863
3.852885815285427,0.0030405214675523623
3.8904644185264114,0.0067630810754967016
3.9279888696143805,0.010577343358848922
3.9655407173062907,0.014422656641151083
4.00323606656636,0.018236918924503298
4.041219059086987,0.02195947853244764
4.079657892231586,0.025533927324511388
4.1187366655172495,0.02891058196831941
4.1586465554562455,0.03204847865892253
4.199574692657208,0.03491675287699052
4.241695338298683,0.03749533320498853
4.2851594618886955,0.03977494053567407
4.3300848197343695,0.04175644434192498
4.3765484823920735,0.04344967948855412
4.424579479652469,0.044871865003991804
4.474157730454219,0.04604578686213161
4.52520893312072,0.046997909094630586
4.577611128603849,0.047756562849510395
4.631195222721412,0.04835033483491055
4.685758109863418,0.04880673988010033
4.741069679325187,0.04915122261793106
4.796890807709247,0.04940649572100937
4.85298600252242,0.04959219080956401
4.909141071833294,0.049724775653940526
4.965177107945554,0.04981720052225723
5.020964542317863,0.049880240929464026
5.076434028986774,0.049921895922456466
5.131582049023097,0.049947518091146725
5.186471194010847,0.04996046033247846
5.241227165112245,0.049962902668699974
5.29602865923027,0.049954328426668124
5.3510935941467075,0.04993296389925708
5.4066611976176695,0.04989427827271832
5.462971666692557,0.049831665209952
5.5202454880793494,0.04973462647747598
5.578664078758207,0.049588299441005734
5.638353444060295,0.049372040276132095
5.699368493694618,0.049059028990261044
5.761685951188723,0.04861374741399273
5.8252042052354085,0.04799147907224299
5.889746027143375,0.047135895366537825
5.955069212203363,0.045978945264501275
6.02088136249279,0.044440025912504635
6.086858979296721,0.0424256087321202
6.15266496607246,0.03983126813111895
6.217970010869321,0.03654267714798025
6.282468525157536,0.03243885350530405
6.345894065504158,0.027396179702297154
6.408026567705839,0.021293329826816133
6.468695382014532,0.014016367263978643
6.527782079138279,0.0054651917692732695
6.585210464639786,-0.00444067950431786
6.6409438986749745,-0.015757884852198503
6.694972156786047,-0.02851530153569662
6.747306027565747,-0.042712541865117144
6.79796443028241,-0.05831933982375609
6.846972305653065,-0.07527701106133607
6.894354243481555,-0.09350428489195228
6.940134151481951,-0.11290233271571395
6.984334535710801,-0.13336180196214292
7.026981128247005,-0.15477043681578279
7.068102049405697,-0.17701918978456258
7.107732118461101,-0.20000990740335445
7.14591454659355,-0.223661119668542
7.182701344241444,-0.24791015836688862
7.218152716032645,-0.27271616049601527
7.252335498138331,-0.29805947155762147
7.2853199025055915,-0.3239391630533797
7.3171755848111975,-0.35037168021191856
7.347970598169067,-0.3773861395529116
7.377764964772377,-0.4050222816683825
7.406610869032783,-0.43332647134941826
7.434547983018401,-0.462349523772213
7.461606331034734,-0.49214504759826916
7.487802980518371,-0.5227680816722107
7.513147595441512,-0.5542754261338805
7.537639479693928,-0.5867258690170589
7.561274739662213,-0.6201796442150025
7.584045134758011,-0.6546985978860564
7.605942384196641,-0.6903451945154884
7.62695961094403,-0.7271820917816456
7.647092802920799,-0.76526954504291
7.6663420663534145,-0.8046659313988154
7.684711272132223,-0.8454225168765857
7.702209133244049,-0.8875823213576532
7.718849690469546,-0.9311798059357884
7.7346510993940205,-0.9762376281511499
7.749635573769896,-1.022766741609194
7.763829880975711,-1.0707656924078155
7.777263596548076,-1.1202196872004229
7.78996842195177,-1.1710988488008396
7.801977133380438,-1.2233593427632623
7.813321682250729,-1.2769409941555852
7.824030817087354,-1.3317661190791716
7.834130246203074,-1.387738047194724
7.843640157475949,-1.4447399208724458
7.852571958689005,-1.5026344242604488
7.860929870136669,-1.5612633711117252
7.86871023245129,-1.6204506727609091
7.8759013930005,-1.6800052859812882
7.882486146930257,-1.739725908281286
7.888442581268712,-1.7994082129868585
7.893745470803945,-1.858850573853704
7.898367869094932,-1.9178633841474027
7.902282121721524,-1.9762757672681268
7.90546013632714,-2.0339427499648943
7.907874156015063,-2.0907510807738525
7.90949524052056,-2.1466221738933284
7.910293826599656,-2.2015161986877505
7.910238799006921,-2.255428732871316
7.909296696986139,-2.3083898324390324
7.907432109198603,-2.3604585372736357
7.904608841358277,-2.4117186469542
7.900789648760004,-2.4622700110197364
7.895938233292579,-2.5122216315327015
7.890018752221813,-2.5616845915684934
7.882999171486626,-2.610766255440632
7.874849175294965,-2.6595637945196504
7.865542419578833,-2.708161437376366
